source_name,channel_type,date,ad_spend,impressions,clicks,leads,revenue
Avito.ru,ads,2023-12-14,4466.27,423600,37319,1402,12058.21
Google Ads,ads,2024-11-24,1513.06,80081,37495,3678,12949.39
Telegram Channel,social,2023-05-27,4427.05,539627,35607,4849,13599.74
University Ads,ads,2024-01-09,9128.86,942857,43077,294,3919.11
Avito.ru,ads,2024-11-18,1188.85,331631,22032,1350,6012.87
Facebook Ads,ads,2024-11-05,5271.83,526960,39659,521,5299.26
Word of Mouth,referral,2024-02-20,9380.42,429592,24400,3065,11735.13
VK Group,social,2024-11-17,4553.57,758924,23329,4134,1977.05
Facebook Ads,ads,2024-05-08,4853.58,94636,6967,3821,10606.0
University Ads,ads,2024-07-12,6207.04,14302,9208,3375,2205.61
Google Ads,ads,2023-09-13,5166.44,405025,30883,3088,7072.59
University Ads,ads,2024-11-16,2517.42,793185,4043,4647,13890.77
VK Group,social,2023-04-13,1167.0,628741,15623,2272,8545.0
Word of Mouth,referral,2023-05-01,6488.3,409046,36328,4732,5966.67
VK Group,social,2024-02-23,9287.26,683741,1592,4033,12509.21
Official Website,web,2023-12-16,1957.28,779820,36489,224,14935.25
Word of Mouth,referral,2024-10-18,2898.57,141057,9018,3251,5464.41
University Ads,ads,2023-02-11,4332.07,845069,46710,2278,6338.3
Avito.ru,ads,2024-01-02,8278.68,258691,45921,3341,12985.73
University Ads,ads,2023-01-29,3423.34,470882,26285,2318,19321.85
University Ads,ads,2023-01-14,8938.49,407628,21502,1847,4670.49
Word of Mouth,referral,2024-04-29,1494.62,86420,29424,575,13257.83
Official Website,web,2023-07-08,9468.61,856952,29676,3701,18178.5
University Ads,ads,2023-10-22,6046.72,196737,31860,3908,9508.35
Facebook Ads,ads,2023-07-02,6929.0,242172,23234,810,6678.46
Email Campaign,email,2024-07-01,4309.21,623956,21325,1288,13503.99
HH.ru,job,2023-02-06,8037.95,56775,9231,1311,1112.92
HH.ru,job,2023-01-14,2499.1,188805,49339,3640,7523.13
University Ads,ads,2024-09-26,1440.21,425923,30605,4751,5530.49
Facebook Ads,ads,2024-08-17,4559.65,433694,49814,3514,4880.12
Avito.ru,ads,2023-06-08,8683.26,278889,1368,1001,4005.31
Google Ads,ads,2024-05-08,7794.34,514407,42550,4734,14872.73
Google Ads,ads,2023-11-25,5654.4,179042,5661,2535,19124.45
Word of Mouth,referral,2024-09-05,6149.24,634147,29213,2439,8003.03
HH.ru,job,2023-03-24,2169.04,677242,11371,4924,1457.51
University Ads,ads,2024-07-09,8566.13,137816,37522,2610,14518.78
Google Ads,ads,2024-08-02,8082.64,611588,7612,3170,10994.98
University Ads,ads,2024-07-13,6908.23,755461,2900,2149,14611.07
Word of Mouth,referral,2024-07-22,5195.72,79979,31720,386,13134.13
HH.ru,job,2024-08-09,9680.13,810015,21522,1114,18156.0
VK Group,social,2023-01-22,8911.29,706650,42317,2157,3238.58
Email Campaign,email,2023-05-12,6799.87,850289,30945,1623,3798.66
Email Campaign,email,2024-04-09,4346.21,347816,29461,2857,7160.6
Google Ads,ads,2024-03-31,6562.2,621047,12864,3477,10082.08
Email Campaign,email,2023-10-29,6178.97,30342,21264,32,18551.42
VK Group,social,2023-09-24,4548.18,850248,43479,2713,18185.8
University Ads,ads,2024-01-30,3760.07,85412,1243,4021,17501.51
Word of Mouth,referral,2023-04-30,4663.1,528532,29313,4875,4839.28
VK Group,social,2023-09-03,6165.2,592602,6803,3358,14728.69
Word of Mouth,referral,2024-07-21,4853.21,928250,28950,3779,7978.09
Word of Mouth,referral,2023-02-07,3372.17,372632,44225,928,18658.07
HH.ru,job,2023-09-02,7848.67,951834,10906,1989,4683.45
University Ads,ads,2023-01-21,5783.21,744948,49999,386,3254.53
Facebook Ads,ads,2023-04-20,1609.08,969848,7194,1260,16926.51
Email Campaign,email,2024-08-28,4314.85,632400,16258,1206,14479.7
Facebook Ads,ads,2024-01-29,8964.22,693966,49087,1680,16517.72
HH.ru,job,2024-02-14,7797.13,106537,27309,3150,3579.9
Word of Mouth,referral,2024-10-09,3909.22,195545,13863,3362,17753.46
Google Ads,ads,2023-01-08,9443.65,543498,36356,2920,13713.6
Email Campaign,email,2024-03-19,1689.43,614903,12317,4975,13205.44
Email Campaign,email,2023-11-24,9651.11,561442,42205,1366,11860.39
University Ads,ads,2023-10-17,3211.35,38687,34972,1776,15415.09
Official Website,web,2024-05-25,1081.85,344828,20340,1375,8604.36
Telegram Channel,social,2023-12-27,4904.27,497268,37987,2374,3090.01
Telegram Channel,social,2024-08-21,4230.73,25473,13610,3986,11015.66
Telegram Channel,social,2024-12-16,5851.8,847608,1908,3851,15087.99
Official Website,web,2023-08-07,8170.96,205651,21964,3254,3496.13
University Ads,ads,2024-02-10,8581.88,302429,509,553,4868.4
Official Website,web,2024-09-12,4611.07,622381,745,3281,14082.64
Telegram Channel,social,2023-08-08,4868.61,707862,18035,3673,5758.19
HH.ru,job,2024-08-17,2333.6,810651,14026,785,3813.85
VK Group,social,2023-04-17,1427.93,979367,1213,1630,17843.15
Word of Mouth,referral,2024-08-03,6770.93,185078,49313,4322,3637.46
Official Website,web,2024-08-31,1579.94,852602,25911,541,7210.9
University Ads,ads,2024-12-24,7604.47,646949,4692,4554,8854.39
University Ads,ads,2023-10-13,5851.81,986302,47259,898,9784.73
Facebook Ads,ads,2023-01-08,2787.25,967469,24652,1923,7545.54
VK Group,social,2023-07-08,5855.71,830902,19844,4066,18294.5
Google Ads,ads,2023-03-22,2646.98,598435,22146,402,13343.19
Email Campaign,email,2023-04-18,4948.63,113833,24554,1631,7510.15
Telegram Channel,social,2023-11-17,8196.04,574272,15929,3467,7475.53
Google Ads,ads,2024-08-01,5157.27,55380,42472,2373,10307.57
Facebook Ads,ads,2024-11-16,2338.29,509175,42793,1358,1156.43
Telegram Channel,social,2023-12-12,7514.46,900153,23184,2870,18569.54
VK Group,social,2023-11-24,2680.92,255509,36498,327,4854.53
Facebook Ads,ads,2024-07-08,7646.95,344004,31783,4484,14103.06
Telegram Channel,social,2024-11-29,5314.17,489009,32577,714,15665.59
VK Group,social,2023-10-29,5083.68,608137,3969,3781,16633.97
Avito.ru,ads,2023-07-19,8662.92,581515,5300,1051,3730.03
Google Ads,ads,2024-02-23,7377.43,101588,43551,2884,10965.51
Google Ads,ads,2023-02-08,1296.2,911385,2139,4254,2131.65
Email Campaign,email,2023-11-03,3665.57,952107,13179,4663,16193.45
VK Group,social,2023-01-04,8838.29,359442,23938,2519,9985.8
Official Website,web,2024-09-24,1164.94,28508,34175,4016,3590.54
Avito.ru,ads,2023-03-18,5907.28,747711,6734,3820,14514.24
HH.ru,job,2024-04-12,7550.43,670334,1824,3034,6957.81
Telegram Channel,social,2023-06-28,6596.7,685521,22154,4800,2732.88
Avito.ru,ads,2024-10-06,7844.79,656013,37558,4652,9490.94
VK Group,social,2023-10-03,7531.23,564018,2555,2137,5087.31
Word of Mouth,referral,2023-06-01,7228.28,612547,47530,4623,19029.33
Telegram Channel,social,2023-06-13,8393.86,877441,7192,2759,7546.55
University Ads,ads,2023-10-17,6811.22,666445,26712,253,11662.83
Google Ads,ads,2024-01-13,4621.77,622403,40556,18,18993.04
VK Group,social,2024-09-12,5247.18,229251,42873,3664,8177.56
University Ads,ads,2024-09-29,7450.52,233278,31202,2703,7483.47
Email Campaign,email,2023-11-06,8886.75,422085,3161,1333,3666.91
Facebook Ads,ads,2024-01-24,3449.97,156843,32101,2306,18796.92
HH.ru,job,2024-10-19,4078.69,837492,10686,2380,16114.52
HH.ru,job,2023-07-02,9376.65,392230,29043,2613,4809.71
University Ads,ads,2023-11-02,6206.61,31462,9576,3543,6987.15
Google Ads,ads,2023-03-13,2610.66,377650,25071,402,18340.78
Email Campaign,email,2023-08-07,6973.26,946936,3863,1261,10976.95
Word of Mouth,referral,2024-12-19,9916.86,393334,45309,2976,11348.52
Google Ads,ads,2023-06-22,8411.08,285318,24178,4674,13138.82
Avito.ru,ads,2024-10-14,7711.67,879151,35756,4349,15362.19
HH.ru,job,2023-09-29,2872.42,432913,10014,3138,18816.07
Avito.ru,ads,2024-12-26,8885.26,718334,4106,1176,16143.39
Telegram Channel,social,2024-04-12,5732.1,277755,17570,2576,18723.71
Official Website,web,2023-09-26,9003.61,908927,6599,3017,16501.89
VK Group,social,2023-01-20,3968.45,32393,34172,202,1405.46
Email Campaign,email,2024-07-31,1558.46,494623,11404,336,2791.93
Google Ads,ads,2024-05-17,5283.78,932767,30335,4130,17755.41
HH.ru,job,2023-05-27,3428.54,510146,22994,4207,1040.08
Avito.ru,ads,2024-03-04,7437.06,949458,17498,672,15986.41
Facebook Ads,ads,2023-06-14,9613.96,532843,45432,4322,17071.95
Telegram Channel,social,2023-11-06,7218.77,153068,24896,4847,8601.56
VK Group,social,2024-06-01,8982.41,938309,12097,4035,7419.67
VK Group,social,2023-01-14,5077.22,477859,30880,4372,4290.88
Google Ads,ads,2023-05-12,7944.77,872435,42186,4267,1453.92
Email Campaign,email,2024-03-14,8587.39,948528,27932,4783,15034.97
Word of Mouth,referral,2024-11-04,7397.88,706967,26606,895,1937.68
Facebook Ads,ads,2023-09-20,5570.0,225287,43182,3963,18921.06
Google Ads,ads,2024-10-04,6632.79,481022,8764,2304,6286.5
Avito.ru,ads,2023-08-13,7304.56,228164,37988,3477,15987.76
Official Website,web,2023-09-15,3277.76,613711,49667,1042,1663.81
University Ads,ads,2023-08-22,8286.21,372809,30264,1481,10957.43
Word of Mouth,referral,2023-12-02,9552.92,885893,30160,2654,7307.44
Email Campaign,email,2024-02-13,5187.15,677684,14085,4081,1085.02
Telegram Channel,social,2023-01-24,7309.6,535011,36980,1158,13288.09
Word of Mouth,referral,2023-09-28,7633.23,109851,18017,50,18891.67
HH.ru,job,2023-04-05,6960.23,68323,1562,3766,709.68
Email Campaign,email,2023-05-22,5924.04,739171,47058,3766,5773.52
Official Website,web,2024-11-24,8934.83,139923,24182,3420,14220.31
HH.ru,job,2024-12-18,5040.34,940909,1965,2976,17489.45
Word of Mouth,referral,2023-03-22,1549.93,660654,36877,3806,4220.19
University Ads,ads,2023-10-01,8601.01,404581,11422,3290,1878.98
University Ads,ads,2023-10-03,7065.83,530910,26412,3457,668.51
Official Website,web,2024-04-09,8643.33,854325,27862,94,4696.53
VK Group,social,2023-07-27,2246.93,791732,14638,4312,1890.69
Facebook Ads,ads,2023-10-23,1276.78,449643,7810,3428,7507.95
Telegram Channel,social,2023-02-08,9409.37,561626,25147,4266,9082.45
VK Group,social,2023-10-15,2329.55,79389,3277,4555,9858.51
University Ads,ads,2023-05-04,8286.87,932186,27602,2173,3275.42
University Ads,ads,2023-10-10,8408.89,512911,19349,4467,9547.77
Avito.ru,ads,2023-06-29,7378.35,867928,3297,2969,676.51
HH.ru,job,2023-04-07,2181.36,34727,35329,2240,5168.71
Word of Mouth,referral,2023-07-10,7006.59,951577,24266,2733,7697.18
Telegram Channel,social,2023-03-15,9001.78,490293,46854,2649,2807.86
Official Website,web,2024-03-22,4829.78,29882,3681,1040,16373.09
Word of Mouth,referral,2024-05-11,4721.65,844664,8792,940,4423.64
Avito.ru,ads,2024-07-14,4985.72,69556,40862,4868,15220.35
University Ads,ads,2024-04-28,1740.45,848569,32988,2669,9740.91
Official Website,web,2024-12-22,9028.23,55054,1875,1831,9854.99
University Ads,ads,2023-04-26,8822.65,208175,32756,3819,13081.29
Telegram Channel,social,2024-06-18,9981.18,952291,706,1603,1363.42
HH.ru,job,2023-04-08,6266.65,98589,7475,1130,2035.81
Word of Mouth,referral,2023-11-24,7760.72,203253,919,1691,6873.45
Word of Mouth,referral,2024-02-11,2824.05,954259,11556,1934,8628.04
VK Group,social,2023-11-09,7007.76,103335,31473,2450,8883.85
Official Website,web,2024-12-02,6847.6,46959,883,4573,13699.3
Facebook Ads,ads,2024-11-24,9110.88,347398,7660,3452,513.75
Avito.ru,ads,2023-05-28,8477.13,230148,29268,1217,19202.55
Facebook Ads,ads,2023-12-08,9446.2,100633,491,1176,3902.5
VK Group,social,2024-05-09,8819.5,98437,24364,71,5348.32
Telegram Channel,social,2023-01-23,8818.25,104058,34000,172,18159.73
Avito.ru,ads,2023-04-15,1573.51,965407,10809,4657,607.08
HH.ru,job,2024-11-05,8613.66,200118,37313,1093,19830.47
Facebook Ads,ads,2024-08-01,6467.31,967023,13162,248,1201.17
HH.ru,job,2024-07-11,4424.0,378657,46901,2625,2850.64
Facebook Ads,ads,2024-08-15,1508.63,808104,10488,2803,5182.08
HH.ru,job,2024-10-20,7099.06,934678,47459,3796,9055.07
Facebook Ads,ads,2023-08-10,3953.82,683463,28136,2050,10609.8
HH.ru,job,2023-01-15,5209.99,18061,5418,3122,2542.01
VK Group,social,2024-09-24,7135.56,529412,30644,447,1936.64
Email Campaign,email,2023-03-19,9205.97,894594,20923,538,1121.25
Avito.ru,ads,2023-11-18,8428.93,940769,49928,114,5506.64
Official Website,web,2023-08-29,5055.37,764542,39119,4487,18469.89
Telegram Channel,social,2023-01-18,4490.05,772449,17078,1248,8101.93
Google Ads,ads,2024-03-29,3158.02,383378,28560,3986,15398.14
University Ads,ads,2024-03-18,4351.84,966544,44211,2274,4208.67
Official Website,web,2023-10-04,1999.42,252118,3424,160,1761.24
University Ads,ads,2024-02-28,9739.95,945497,22652,1803,11308.46
Avito.ru,ads,2024-04-20,6165.26,592507,3034,640,16530.8
Official Website,web,2023-01-27,2150.25,606538,5133,4527,18019.97
HH.ru,job,2024-05-28,4175.25,891735,39631,4751,11150.99
HH.ru,job,2024-04-08,5923.35,572165,6186,1977,6233.63
Google Ads,ads,2023-12-29,5795.97,267183,37201,216,2635.48
University Ads,ads,2024-01-18,1319.53,269158,44045,2832,13522.55
Telegram Channel,social,2024-06-08,9557.57,487584,27039,843,5968.52
Avito.ru,ads,2024-01-17,3478.38,874717,18994,3783,16957.27
HH.ru,job,2023-07-03,1145.66,877856,4787,3751,12299.86
Email Campaign,email,2023-07-13,1688.0,681380,2987,1510,17248.13
VK Group,social,2024-04-06,6221.75,770630,3143,2645,11549.73
VK Group,social,2023-02-25,2240.07,306965,18115,4331,15548.98
Facebook Ads,ads,2023-08-18,1375.52,738659,17889,813,6238.95
Telegram Channel,social,2024-05-03,4416.64,449216,6215,1867,10309.65
VK Group,social,2023-01-28,6604.85,698211,28921,3157,878.42
Facebook Ads,ads,2024-08-05,2006.56,795657,22979,4621,12352.72
University Ads,ads,2024-12-22,3819.95,550313,49257,1856,10907.92
HH.ru,job,2023-07-03,4759.85,101551,32817,4292,15228.01
HH.ru,job,2024-02-29,2435.14,549719,41279,3729,14714.64
Email Campaign,email,2024-01-10,5554.67,487804,41071,4044,12738.53
Official Website,web,2023-02-10,1766.93,768895,35710,2596,1605.37
VK Group,social,2024-04-28,1418.67,446395,5604,4753,18108.69
University Ads,ads,2023-09-17,5678.52,313802,8749,2075,851.37
Word of Mouth,referral,2024-03-16,3231.07,388652,26948,4390,16163.72
VK Group,social,2023-03-25,1858.36,434208,24842,2989,9847.25
Telegram Channel,social,2023-02-15,4815.21,973089,15775,3980,16450.87
Official Website,web,2024-03-15,9236.27,468407,40151,2962,9568.86
VK Group,social,2024-11-01,7517.73,522318,47017,4755,13115.29
University Ads,ads,2024-06-02,8340.54,721761,34841,1252,7583.68
VK Group,social,2024-03-13,8847.23,707418,26620,2701,15001.74
Telegram Channel,social,2023-05-16,9753.65,213180,14933,1977,5456.44
Word of Mouth,referral,2023-07-02,7869.22,591067,7674,2414,14527.44
Avito.ru,ads,2024-12-09,6475.67,569950,8243,265,4270.96
Google Ads,ads,2023-06-21,4288.83,177257,24036,2665,14582.27
Word of Mouth,referral,2024-08-12,2634.79,878600,36696,1846,6226.59
Facebook Ads,ads,2024-11-20,7179.94,935314,21569,188,5933.32
VK Group,social,2024-06-22,9954.55,481426,48638,4193,16324.13
HH.ru,job,2023-04-30,5206.23,511669,37605,4950,16367.01
Email Campaign,email,2023-10-08,7513.11,585330,16723,3476,13982.35
HH.ru,job,2023-11-04,5455.83,214488,35820,37,18516.22
Word of Mouth,referral,2024-12-08,4887.4,874618,11730,2754,3545.78
HH.ru,job,2023-10-04,4692.75,922679,17339,63,5751.77
University Ads,ads,2024-06-13,5541.62,175955,31123,330,6233.27
HH.ru,job,2023-10-22,4302.06,966853,27340,3640,6453.08
Official Website,web,2023-02-22,7738.96,62215,36106,3315,6896.62
Avito.ru,ads,2024-03-07,8868.45,703779,653,3834,14091.68
VK Group,social,2023-02-21,8945.97,994846,24618,341,5779.78
HH.ru,job,2024-12-28,3049.29,796012,43873,1727,6075.48
Telegram Channel,social,2023-03-13,9063.18,770964,42945,3553,11623.08
Avito.ru,ads,2023-01-28,4073.96,992310,13712,326,4270.5
Avito.ru,ads,2024-04-13,3783.77,690231,11237,3561,7615.31
HH.ru,job,2024-06-30,7540.8,323990,25904,2918,1629.84
Avito.ru,ads,2024-02-05,3742.27,380631,41254,2927,19074.67
Email Campaign,email,2023-07-20,1476.7,452207,40206,4326,6687.5
HH.ru,job,2024-09-02,4362.56,792179,32605,1372,17075.82
University Ads,ads,2024-04-10,7493.19,843568,44747,157,10833.94
Word of Mouth,referral,2024-10-13,3942.63,736389,9717,1742,4950.14
Official Website,web,2024-08-17,6666.03,42548,15498,2638,4271.84
Google Ads,ads,2024-07-13,6941.07,657199,2793,4583,14051.73
Facebook Ads,ads,2024-01-14,7603.62,801082,31071,4028,19314.94
Avito.ru,ads,2023-06-26,9074.17,591566,2071,1219,4069.86
University Ads,ads,2023-02-21,4893.08,185907,14642,179,2750.71
VK Group,social,2023-03-20,2497.89,550513,8791,1577,8048.44
VK Group,social,2024-01-20,3870.33,55360,13554,4406,8179.31
Facebook Ads,ads,2024-07-29,4889.51,731688,20598,3445,16221.93
Official Website,web,2023-01-08,7425.02,760699,3873,1887,9643.34
Avito.ru,ads,2023-08-02,1118.1,456559,20131,4062,1717.99
Email Campaign,email,2023-01-25,3842.07,764753,40777,3045,18453.02
Facebook Ads,ads,2024-03-25,8018.58,860440,2966,3258,7777.16
Official Website,web,2024-04-01,7037.72,67573,49938,3883,13536.37
Avito.ru,ads,2024-04-05,7585.66,586220,32668,2201,13516.02
University Ads,ads,2023-07-17,8306.3,923765,2167,532,1598.67
Word of Mouth,referral,2023-04-04,8049.12,555169,22391,3562,570.29
Email Campaign,email,2024-12-19,7139.65,567845,28597,2716,2216.72
Google Ads,ads,2024-03-12,4956.95,210802,49699,2542,19152.36
VK Group,social,2024-06-10,9852.38,743454,32069,831,15982.86
Telegram Channel,social,2024-11-20,6121.66,495126,42826,3518,3074.24
University Ads,ads,2024-01-13,2824.92,333468,42184,204,12489.96
VK Group,social,2024-08-09,3635.32,817273,31558,475,12433.49
HH.ru,job,2023-04-14,7242.06,285619,16777,3035,510.9
Telegram Channel,social,2024-11-10,9322.66,540959,30345,3157,8866.75
VK Group,social,2024-09-18,2608.48,201656,35414,2547,14379.62
Official Website,web,2023-02-08,1741.12,566052,8367,109,4142.46
Email Campaign,email,2024-04-02,8933.78,457003,39912,125,17092.62
VK Group,social,2023-12-30,9237.5,933465,3875,4485,13375.95
Google Ads,ads,2023-05-15,3487.41,328034,11488,2881,635.02
Word of Mouth,referral,2024-01-09,4395.57,382496,10366,2120,17170.83
Official Website,web,2023-08-20,6941.69,399952,25975,1281,878.3
University Ads,ads,2023-02-08,3969.37,860316,30367,2700,17814.61
University Ads,ads,2023-02-16,8894.43,277299,47689,1444,7007.52
University Ads,ads,2023-02-05,1968.21,663806,3634,1912,14123.68
University Ads,ads,2023-04-05,1341.84,763977,2153,3033,15854.9
Word of Mouth,referral,2023-12-27,2876.38,262393,39980,2785,5984.74
VK Group,social,2024-06-08,3574.79,400419,18183,2603,7450.52
Avito.ru,ads,2023-05-26,2016.34,75768,10029,4949,10436.06
VK Group,social,2024-01-03,1591.21,654711,42990,4403,11862.48
HH.ru,job,2023-03-06,7800.47,70851,39700,4401,6194.82
Email Campaign,email,2023-08-16,2478.49,936725,41429,3608,19851.71
Telegram Channel,social,2024-06-03,9225.3,54566,32183,4220,14871.59
Avito.ru,ads,2024-07-08,4312.0,755129,3839,4057,5845.96
Avito.ru,ads,2023-06-30,7035.45,405927,20857,2936,12988.43
VK Group,social,2024-05-15,3028.62,153603,33207,3223,8989.74
Avito.ru,ads,2024-08-19,3162.9,937984,2962,2676,17276.41
Facebook Ads,ads,2023-06-04,6172.38,968212,17097,1836,6914.53
Facebook Ads,ads,2024-06-18,6045.79,808623,17587,1035,4163.15
HH.ru,job,2024-09-18,7918.56,987453,28453,795,1399.66
Telegram Channel,social,2024-03-10,7820.32,259104,9084,4140,19694.03
Google Ads,ads,2023-04-09,7036.19,733018,23230,1810,7504.82
Word of Mouth,referral,2024-09-07,5042.18,13779,8358,3299,4800.11
VK Group,social,2024-01-07,9015.76,867622,12602,370,10089.49
Word of Mouth,referral,2024-07-16,6603.21,644966,37379,4399,6186.97
Google Ads,ads,2023-12-28,9911.79,920192,40180,3407,5041.55
VK Group,social,2023-04-22,8374.33,271752,12939,1236,12519.5
VK Group,social,2024-03-28,1398.79,994212,28471,2650,1959.54
Telegram Channel,social,2023-06-18,3885.35,17317,33438,3659,10425.36
Word of Mouth,referral,2024-08-06,6146.88,722256,41599,4366,8054.91
Facebook Ads,ads,2023-05-19,7493.23,534447,5456,3213,10884.32
University Ads,ads,2023-08-19,5953.03,135373,16600,1810,6748.59
Word of Mouth,referral,2023-08-27,8075.17,591403,10490,3406,11621.26
Email Campaign,email,2023-09-10,3543.9,208737,29878,1426,2095.46
Email Campaign,email,2024-03-11,2655.21,29462,40092,4507,7835.1
VK Group,social,2024-07-14,1485.25,225221,19940,345,5131.22
University Ads,ads,2024-02-26,6159.82,799349,30080,3019,9042.75
Official Website,web,2023-10-30,7197.4,422613,35919,1971,8267.55
Google Ads,ads,2023-03-13,3935.35,298269,14165,853,12808.08
HH.ru,job,2023-09-20,6522.26,252141,10659,1650,12760.78
University Ads,ads,2023-08-10,1469.42,999366,8533,4150,8560.61
HH.ru,job,2023-03-18,1893.64,726089,8756,1134,4041.65
Word of Mouth,referral,2023-03-03,7315.79,765243,43310,4721,11847.32
Word of Mouth,referral,2024-04-15,4312.63,319421,31577,2319,19347.05
HH.ru,job,2023-06-06,7042.01,810781,46624,774,4116.13
Google Ads,ads,2023-05-05,8485.49,70715,40675,1710,1846.65
University Ads,ads,2023-06-10,8673.6,175800,40170,2349,5658.94
Official Website,web,2024-06-24,2549.51,171864,29629,3737,8551.95
VK Group,social,2024-09-17,5376.57,542190,18362,4639,6470.67
Telegram Channel,social,2024-08-13,7605.34,655633,37749,1102,16776.84
Word of Mouth,referral,2024-06-18,7965.83,89569,42965,1614,10114.04
Email Campaign,email,2023-04-16,8062.08,898580,36677,1279,5299.49
Google Ads,ads,2023-05-11,3053.51,899433,8863,4680,19028.88
Telegram Channel,social,2023-12-23,2732.81,569446,22089,4342,2938.72
Official Website,web,2024-11-15,6310.11,765083,24217,3412,2896.77
Avito.ru,ads,2023-01-02,7669.77,13917,47608,540,5283.05
VK Group,social,2023-08-21,3872.26,235019,36509,2800,1997.06
Word of Mouth,referral,2024-01-04,1942.35,876174,28180,2522,15157.23
VK Group,social,2023-09-08,7450.72,940124,28295,1262,6599.81
Telegram Channel,social,2023-04-18,3697.28,923762,756,3951,14731.84
VK Group,social,2023-10-03,2497.26,742718,15709,2439,15373.38
Avito.ru,ads,2023-06-29,2329.51,113246,19635,4232,5131.61
Telegram Channel,social,2024-12-25,3834.19,477106,4210,667,10608.09
Word of Mouth,referral,2023-10-20,6334.1,34691,44082,1874,10632.05
University Ads,ads,2024-08-06,4225.62,492706,7307,1178,17491.61
Email Campaign,email,2023-06-24,1185.96,605022,48737,2610,999.8
Telegram Channel,social,2023-05-03,1872.18,560334,33174,2496,6677.61
Facebook Ads,ads,2023-08-15,3614.53,687746,41764,2465,17708.54
Avito.ru,ads,2024-03-19,6937.34,938775,20976,2853,5117.66
Telegram Channel,social,2024-03-03,1886.64,162598,8969,1740,3169.16
Telegram Channel,social,2023-03-24,6045.91,128540,31789,3821,11734.71
Facebook Ads,ads,2024-10-19,2078.97,53798,43972,4052,6464.6
Word of Mouth,referral,2024-09-23,2904.54,518446,12285,3248,9612.24
Telegram Channel,social,2023-03-06,2549.7,657581,41270,2699,16490.25
Email Campaign,email,2023-10-08,1605.06,428473,20978,3343,10653.59
VK Group,social,2024-01-26,7041.97,723345,1496,3342,10559.85
Word of Mouth,referral,2024-03-03,5170.63,456346,3560,1208,5924.56
Email Campaign,email,2024-09-09,8479.48,781480,37221,1390,15960.88
Word of Mouth,referral,2023-04-17,1890.02,608684,45489,4875,14926.39
Email Campaign,email,2024-07-01,2302.6,429861,29120,1200,5065.35
Avito.ru,ads,2024-10-20,3758.12,427405,43340,1352,6740.09
Email Campaign,email,2023-09-19,7892.79,615586,7776,1664,15878.25
HH.ru,job,2023-06-08,3751.83,142040,37412,4763,7475.5
Email Campaign,email,2023-09-22,4675.77,277944,3248,3416,8369.41
University Ads,ads,2024-04-12,3714.43,951733,12372,998,7606.04
University Ads,ads,2023-07-21,1722.02,330668,927,3555,3651.83
Google Ads,ads,2023-06-04,9454.9,106585,2755,3226,7147.48
HH.ru,job,2023-01-13,5936.85,432933,43205,1087,16157.24
HH.ru,job,2023-10-24,8090.5,392423,45617,131,10075.97
VK Group,social,2024-05-12,6925.21,490519,8791,3205,9435.24
HH.ru,job,2024-08-19,5628.29,476222,43738,2224,3548.85
VK Group,social,2023-09-02,1807.1,926357,9353,3001,3962.61
Google Ads,ads,2023-10-27,6784.6,990742,7625,843,1337.53
Google Ads,ads,2023-12-28,2398.33,670179,13653,1688,772.13
Avito.ru,ads,2023-12-20,4729.45,853216,36364,2079,10016.27
University Ads,ads,2024-06-04,6662.02,766899,4322,1894,8480.03
Email Campaign,email,2024-01-21,8040.06,97175,25802,4066,5869.86
Email Campaign,email,2023-11-08,7165.41,518155,10816,1972,19805.91
Facebook Ads,ads,2024-02-18,7043.8,997340,23063,4033,8260.93
Facebook Ads,ads,2023-10-05,2341.38,56935,21988,417,15882.51
Official Website,web,2024-12-15,4115.16,975933,4280,4587,4605.64
Word of Mouth,referral,2024-08-15,1386.21,741967,1482,2379,5317.3
Avito.ru,ads,2023-12-22,7475.29,669358,14462,2172,11583.63
Official Website,web,2024-06-08,9573.27,51750,4267,2329,578.55
Official Website,web,2023-01-16,3376.99,408396,38413,3249,839.8
Telegram Channel,social,2023-02-14,1789.27,874720,30387,1902,3273.27
Telegram Channel,social,2023-11-17,5280.13,826945,15681,2307,4850.86
Official Website,web,2024-10-12,8710.28,113725,26294,3848,10793.07
HH.ru,job,2023-11-22,5967.77,552167,48821,1499,13881.47
Word of Mouth,referral,2023-05-28,1420.99,886330,28923,2062,6581.63
Avito.ru,ads,2023-12-21,9768.45,333977,9527,4019,5161.88
Official Website,web,2023-08-24,8457.85,24316,10922,1910,16544.82
Email Campaign,email,2024-12-03,2184.35,689885,36851,1831,3674.15
Word of Mouth,referral,2024-09-04,9296.18,801810,24221,2920,13727.37
Telegram Channel,social,2023-04-15,5056.19,714029,6300,4370,18660.95
Email Campaign,email,2024-04-18,4347.08,405793,14861,1282,5028.11
Telegram Channel,social,2024-01-31,5149.48,162762,22226,1896,2195.82
Telegram Channel,social,2024-03-21,8511.15,378581,23195,1842,19605.3
Word of Mouth,referral,2024-08-28,6935.32,764899,26223,2876,5780.09
Telegram Channel,social,2023-08-08,1533.24,256818,13419,706,5875.43
Google Ads,ads,2024-03-17,9618.44,199586,15690,4846,9933.56
University Ads,ads,2024-10-06,2330.06,222249,46365,2374,5005.62
Google Ads,ads,2024-10-28,7710.11,988466,2284,4879,19861.01
University Ads,ads,2023-01-28,6725.23,996699,22801,4224,1337.83
